Open,High,Low,Close,Inflation,country,data_coverage_previous_12_months_food,total_food_price_increase_since_start_date,maximum_food_drawdown,average_monthly_food_price_correlation_between_markets,average_annual_food_price_correlation_between_markets,month,inflation_velocity,rolling_avg_3m,lag_1,lag_2,lag_3,FCAI,crisis_next_3m,inflation_sq,price_spread,close_open_ratio,inflation_volatility,lag_diff,price_vs_rolling,fcai_inflation,month_sin,month_cos,inflation_vel_sq,vulnerability_cluster
0.98,0.99,0.98,0.98,8.24,0,74.93,167.97,-40.67,0.62,0.87,9,-2.4700000000000006,10.733333333333334,10.71,13.25,17.1,5.525666666666667,0,67.8976,0.010000000000000009,1.0,65.3432,-2.539999999999999,-9.753333333333334,45.53149333333334,-1.0,-1.8369701987210297e-16,6.100900000000003,0
0.98,0.98,0.97,0.97,4.48,0,74.93,167.97,-40.67,0.62,0.87,10,-3.76,7.81,8.24,10.71,13.25,2.6740000000000004,0,20.070400000000003,0.010000000000000009,0.9897959183673469,35.5264,-2.4700000000000006,-6.84,11.979520000000003,-0.8660254037844386,0.5000000000000001,14.137599999999999,0
0.97,0.98,0.97,0.98,2.58,0,74.93,167.97,-40.67,0.62,0.87,11,-1.9000000000000004,5.1000000000000005,4.48,8.24,10.71,1.7400000000000002,0,6.6564000000000005,0.010000000000000009,1.0103092783505154,20.4594,-3.76,-4.120000000000001,4.4892,-0.5000000000000004,0.8660254037844384,3.610000000000001,0
0.98,0.99,0.98,0.98,0.76,0,74.93,167.97,-40.67,0.62,0.87,12,-1.82,2.606666666666667,2.58,4.48,8.24,0.3553333333333334,0,0.5776,0.010000000000000009,1.0,6.0268,-1.9000000000000004,-1.626666666666667,0.27005333333333337,-2.4492935982947064e-16,1.0,3.3124000000000002,0
0.98,0.99,0.97,0.97,-1.6,0,74.93,167.97,-40.67,0.62,0.87,1,-2.3600000000000003,0.58,0.76,2.58,4.48,-1.392,0,2.5600000000000005,0.020000000000000018,0.9897959183673469,-12.688,-1.82,0.39,2.2272,0.49999999999999994,0.8660254037844387,5.569600000000001,0
0.96,0.97,0.96,0.97,-2.61,0,74.93,167.97,-40.67,0.62,0.87,2,-1.0099999999999998,-1.15,-1.6,0.76,2.58,-1.838,0,6.812099999999999,0.010000000000000009,1.0104166666666667,-20.6973,-2.3600000000000003,2.12,4.79718,0.8660254037844386,0.5000000000000001,1.0200999999999996,0
0.96,0.97,0.96,0.97,-2.43,0,74.93,167.97,-40.67,0.62,0.87,3,0.1799999999999997,-2.2133333333333334,-2.61,-1.6,0.76,-1.603666666666667,0,5.9049000000000005,0.010000000000000009,1.0104166666666667,-19.2699,-1.0099999999999998,3.1833333333333336,3.896910000000001,1.0,6.123233995736766e-17,0.03239999999999989,0
0.98,0.98,0.97,0.98,-0.45,0,74.93,167.97,-40.67,0.62,0.87,4,1.98,-1.83,-2.43,-2.61,-1.6,0.003,0,0.2025,0.010000000000000009,1.0,-3.5685,0.17999999999999972,2.81,-0.00135,0.8660254037844387,-0.4999999999999998,3.9204,0
0.99,1.0,0.98,0.99,0.37,0,74.93,167.97,-40.67,0.62,0.87,5,0.8200000000000001,-0.8366666666666666,-0.45,-2.43,-2.61,0.2636666666666666,0,0.1369,0.020000000000000018,1.0,2.9341,1.9800000000000002,1.8266666666666667,0.09755666666666664,0.49999999999999994,-0.8660254037844387,0.6724000000000001,0
0.99,1.0,0.98,0.98,0.33,0,74.93,167.97,-40.67,0.62,0.87,6,-0.0399999999999999,0.0833333333333334,0.37,-0.45,-2.43,0.1696666666666667,0,0.10890000000000001,0.020000000000000018,0.98989898989899,2.6169000000000002,0.8200000000000001,0.8966666666666666,0.05599000000000001,1.2246467991473532e-16,-1.0,0.0015999999999999918,0
